user_id,open_ts,close_ts,open_type,implicit_closed,censored,duration_s
7,1753101008651,1753129088051.0,auto,False,False,28079.4
7,1753129162426,1753157990844.0,auto,False,False,28828.418
7,1753164633228,1753174957959.0,auto,False,False,10324.731
7,1753175379008,1753250629740.0,auto,False,False,75250.732
7,1753251511595,1753263039644.0,auto,False,False,11528.049
8,1751902135523,1751902149443.0,auto,False,False,13.92
8,1751902738624,1751902779409.0,auto,False,False,40.785
8,1751902795270,1751902823499.0,auto,False,False,28.229
8,1751903331494,1751903378155.0,auto,False,False,46.661
8,1751903461681,1751903654628.0,auto,False,False,192.947
8,1751903687439,1751903900918.0,auto,False,False,213.479
8,1751904065037,1751961553535.0,auto,False,False,57488.498
8,1751961976722,1751962794486.0,auto,False,False,817.764
8,1751963189327,1751963352464.0,auto,False,False,163.137
8,1751963443315,1751963475776.0,auto,False,False,32.461
8,1751963544066,1751964394930.0,auto,False,False,850.864
8,1751973516781,1751973540607.0,auto,False,False,23.826
8,1751973825133,1751973868667.0,auto,False,False,43.534
8,1751973961388,1751983557267.0,auto,False,False,9595.879
8,1752067326104,1752068655099.0,auto,False,False,1328.995
8,1752163069460,1752163073148.0,manual,False,False,3.688
8,1752492694976,1752492795629.0,auto,False,False,100.653
8,1752492944984,1752506363370.0,auto,True,False,13418.386
8,1752506363370,1752507363178.0,auto,False,False,999.808
8,1752507366674,1752507672061.0,manual,False,False,305.387
8,1752507891940,1752507892422.0,manual,False,False,0.482
8,1752507892895,1752508298009.0,manual,False,False,405.114
8,1752508367953,1752508834356.0,manual,False,False,466.403
8,1752653500603,1752659645498.0,auto,False,False,6144.895
8,1752677872543,1752677875345.0,manual,False,False,2.802
8,1752678328402,1752678330273.0,manual,False,False,1.871
8,1753084801478,1753084802631.0,manual,False,False,1.153
9,1752095251229,1752095747199.0,auto,False,False,495.97
9,1752095800344,1752095834783.0,manual,False,False,34.439
9,1752156157022,1752156159669.0,manual,False,False,2.647
9,1752183741817,1752183751452.0,manual,False,False,9.635
9,1752185562588,1752185569451.0,manual,False,False,6.863
9,1752185572016,1752185580563.0,manual,False,False,8.547
9,1752185630800,1752185633952.0,manual,False,False,3.152
10,1751987471625,1751987476329.0,auto,False,False,4.704
10,1751988526239,1751988683695.0,auto,False,False,157.456
10,1752036534581,1752036614579.0,auto,False,False,79.998
10,1752037663277,1752038478105.0,auto,False,False,814.828
10,1752038522110,1752038559346.0,auto,False,False,37.236
10,1752038564977,1752039216545.0,auto,False,False,651.568
10,1752039644975,1752039935502.0,manual,False,False,290.527
10,1752040018874,1752040278028.0,auto,False,False,259.154
10,1752040763705,1752041514254.0,auto,False,False,750.549
10,1752041696253,1752041919202.0,auto,False,False,222.949
10,1752042485761,1752126030421.0,auto,False,False,83544.66
10,1752126646882,1752128565324.0,auto,False,False,1918.442
10,1752128940893,1752129059283.0,auto,False,False,118.39
10,1752130063959,1752130746181.0,auto,False,False,682.222
10,1752130862699,1752132664299.0,auto,False,False,1801.6
10,1752132766701,1752132829380.0,auto,False,False,62.679
10,1752136742873,1752136854669.0,auto,False,False,111.796
10,1752136882689,1752136987602.0,auto,False,False,104.913
10,1752137059016,1752138175385.0,auto,False,False,1116.369
10,1752138307447,1752139089041.0,auto,False,False,781.594
10,1752139199704,1752143532668.0,auto,False,False,4332.964
10,1752148132685,1752148859212.0,auto,False,False,726.527
10,1752148926239,1752149417333.0,auto,False,False,491.094
10,1752149537629,1752149842884.0,auto,False,False,305.255
10,1752230487840,1752231577503.0,auto,False,False,1089.663
10,1752238347285,1752440337371.0,auto,False,False,201990.086
10,1752473932982,1752474911508.0,auto,False,False,978.526
10,1752474923149,1752475140361.0,auto,False,False,217.212
10,1752476054359,1752476878629.0,auto,False,False,824.27
10,1752476904172,1752477267189.0,manual,False,False,363.017
10,1752477333108,1752477354759.0,manual,False,False,21.651
10,1752477909430,1752478068571.0,auto,False,False,159.141
10,1752479156410,1752479216478.0,auto,False,False,60.068
10,1752480009620,1752481229090.0,auto,False,False,1219.47
10,1752481356538,1752491298931.0,auto,False,False,9942.393
10,1752502732219,1752502742550.0,manual,False,False,10.331
10,1752503340422,1752504361160.0,auto,False,False,1020.738
10,1752505222451,1752505295238.0,auto,False,False,72.787
10,1752505578132,1752505743804.0,auto,False,False,165.672
10,1752508625328,1752508782958.0,auto,False,False,157.63
10,1752508787237,1752559460343.0,auto,False,False,50673.106
10,1752562864127,1752563021579.0,auto,False,False,157.452
10,1752563044035,1752563291527.0,auto,False,False,247.492
10,1752563665901,1752566973476.0,auto,False,False,3307.575
10,1752659514240,1752660126156.0,auto,False,False,611.916
10,1752660298002,1752661282175.0,auto,False,False,984.173
10,1752661453741,1752661563635.0,auto,False,False,109.894
10,1752662292959,1752662297528.0,auto,False,False,4.569
10,1752663010625,1752663224906.0,auto,False,False,214.281
10,1752734154829,1752734184936.0,auto,False,False,30.107
10,1752734410556,1752734682064.0,auto,False,False,271.508
10,1752735020922,1752735083353.0,auto,False,False,62.431
10,1752735086283,1752738322611.0,auto,False,False,3236.328
10,1752740387245,1752742921666.0,auto,False,False,2534.421
10,1752829797925,1752830007470.0,auto,False,False,209.545
10,1753106697163,1753106712643.0,auto,False,False,15.48
10,1753108230291,1753108258103.0,auto,False,False,27.812
10,1753110518132,1753110568890.0,auto,False,False,50.758
10,1753111070293,1753111121784.0,auto,False,False,51.491
10,1753164234754,1753164369280.0,auto,False,False,134.526
10,1753164502626,1753164634219.0,auto,False,False,131.593
10,1753166035499,1753166250875.0,auto,False,False,215.376
10,1753169532441,1753169583386.0,auto,False,False,50.945
10,1753169753753,1753169784674.0,auto,False,False,30.921
10,1753169891428,1753169915269.0,auto,False,False,23.841
10,1753170058558,1753170377945.0,auto,False,False,319.387
10,1753171893765,1753172104671.0,auto,False,False,210.906
10,1753172139319,1753172326023.0,auto,False,False,186.704
10,1753178525955,1753178542935.0,auto,False,False,16.98
10,1753179132731,1753179155012.0,auto,False,False,22.281
10,1753179254347,1753179287920.0,auto,False,False,33.573
10,1753191539989,1753191852974.0,auto,False,False,312.985
10,1753195953739,1753196170311.0,auto,False,False,216.572
10,1753196286648,1753196460345.0,auto,False,False,173.697
10,1753196651546,1753197159411.0,auto,False,False,507.865
10,1753258848296,1753261699116.0,auto,False,False,2850.82
10,1753262510317,1753262557548.0,auto,False,False,47.231
10,1753265527997,1753265573762.0,auto,False,False,45.765
10,1753266027509,1753266048184.0,auto,False,False,20.675
10,1753266237129,1753267564135.0,auto,False,False,1327.006
11,1751931468156,1751931975522.0,auto,False,False,507.366
11,1751933545782,1751996635802.0,auto,False,False,63090.02
11,1751997219289,1751997242531.0,auto,False,False,23.242
11,1751997243046,1752146923434.0,manual,True,False,149680.388
11,1752146923434,1752147744069.0,auto,False,False,820.635
11,1752147744516,1752150557798.0,manual,False,False,2813.282
11,1752196602162,1752196625254.0,manual,True,False,23.092
11,1752196625254,1752496572592.0,auto,True,False,299947.338
11,1752496572592,1752502924746.0,auto,True,False,6352.154
11,1752502924746,1752502927215.0,manual,False,False,2.469
12,1752120589370,1752120595568.0,manual,False,False,6.198
12,1752136081434,1752136099423.0,manual,False,False,17.989
12,1752193073183,1752193073815.0,manual,False,False,0.632
12,1752193074879,1752193075625.0,manual,False,False,0.746
12,1752206781829,1752207290050.0,manual,False,False,508.221
12,1752211766814,1752211780763.0,auto,False,False,13.949
12,1752211781121,1752212471606.0,manual,False,False,690.485
12,1752212498355,1752212515578.0,manual,False,False,17.223
12,1752212516074,1752212517152.0,manual,False,False,1.078
12,1752212517918,1752212525133.0,manual,False,False,7.215
12,1752213325247,1752213331646.0,auto,False,False,6.399
12,1752213331966,1752213332335.0,manual,False,False,0.369
12,1752213449725,1752213471138.0,auto,False,False,21.413
12,1752213818903,1752215833732.0,auto,False,False,2014.829
12,1752216284110,1752216611396.0,auto,False,False,327.286
12,1752216691929,1752329446210.0,auto,False,False,112754.281
12,1752453253713,1752454936893.0,auto,False,False,1683.18
12,1752454965716,1752460389550.0,auto,False,False,5423.834
12,1752460484673,1752460496106.0,auto,False,False,11.433
12,1752460499198,1752460500223.0,manual,False,False,1.025
12,1752460542177,1752471374783.0,auto,True,False,10832.606
12,1752471374783,1752472859769.0,auto,False,False,1484.986
12,1752473032101,1752473301366.0,auto,False,False,269.265
12,1752473610236,1752476080159.0,auto,False,False,2469.923
12,1752476116235,1752476162785.0,auto,False,False,46.55
12,1752476313118,1752476683172.0,auto,False,False,370.054
12,1752476803630,1752476900388.0,auto,False,False,96.758
12,1752477088758,1752477414570.0,auto,False,False,325.812
12,1752477483636,1752477533521.0,auto,False,False,49.885
12,1752477847711,1752480965600.0,auto,False,False,3117.889
12,1752541739958,1752543381770.0,auto,False,False,1641.812
12,1752543382419,1752552879712.0,manual,False,False,9497.293
12,1752552949804,1752552958517.0,auto,False,False,8.713
12,1752557047839,1752557059524.0,auto,False,False,11.685
12,1752557187805,1752557204326.0,auto,False,False,16.521
12,1752557263449,1752557296827.0,manual,False,False,33.378
12,1752557662142,1752557901559.0,auto,False,False,239.417
12,1752558578758,1752558655818.0,auto,False,False,77.06
12,1752558817047,1752560414994.0,auto,False,False,1597.947
12,1752560495405,1752560582209.0,auto,False,False,86.804
12,1752560860470,1752561385670.0,auto,False,False,525.2
12,1752561476811,1752565036524.0,auto,False,False,3559.713
12,1752565272202,1752565444943.0,auto,False,False,172.741
12,1752565445424,1752566966423.0,manual,False,False,1520.999
12,1752625564059,1752644530134.0,auto,False,False,18966.075
12,1752645238183,1752645450155.0,auto,False,False,211.972
12,1752646180373,1752647671476.0,auto,False,False,1491.103
12,1752647863226,1752651348255.0,auto,False,False,3485.029
12,1752651413307,1752651555345.0,manual,False,False,142.038
12,1752651770349,1752651896771.0,auto,False,False,126.422
12,1752652137469,1752652789707.0,manual,False,False,652.238
12,1752652953059,1752669290653.0,auto,False,False,16337.594
12,1752669338235,1752669378069.0,auto,False,False,39.834
12,1752669397936,1752669401893.0,auto,False,False,3.957
12,1752669402810,1752669403406.0,manual,False,False,0.596
12,1752669461940,1752669513855.0,auto,False,False,51.915
12,1752669572249,1752669572403.0,auto,False,False,0.154
12,1752669573502,1752669658046.0,manual,False,False,84.544
12,1752669728378,1752669868632.0,auto,False,False,140.254
12,1752669914727,1752669957699.0,auto,False,False,42.972
12,1752670006346,1752671762433.0,auto,False,False,1756.087
12,1752673519938,1752676957073.0,auto,True,False,3437.135
12,1752676957073,1752710740598.0,auto,False,False,33783.525
12,1752710740941,1752712786985.0,manual,False,False,2046.044
12,1752713003064,1752713884681.0,auto,False,False,881.617
12,1752714012043,1752715657245.0,auto,False,False,1645.202
12,1752715666305,1752715671990.0,auto,False,False,5.685
12,1752715878946,1752741330624.0,auto,False,False,25451.678
12,1752741568653,1752800011582.0,auto,False,False,58442.929
12,1752800094941,1752804864771.0,auto,True,False,4769.83
12,1752804864771,1752812331159.0,auto,False,False,7466.388
12,1752812973905,1752812974753.0,manual,False,False,0.848
12,1752813806865,1752814678548.0,auto,True,False,871.683
12,1752814678548,1752814984038.0,auto,False,False,305.49
12,1752814990973,1752819029817.0,auto,False,False,4038.844
12,1753148639008,1753148665962.0,auto,False,False,26.954
12,1753148674328,1753148689278.0,manual,False,False,14.95
12,1753148716373,1753148731817.0,manual,False,False,15.444
12,1753148747902,1753148777480.0,manual,False,False,29.578
12,1753148777900,1753149039722.0,manual,False,False,261.822
12,1753149040843,1753149041583.0,manual,False,False,0.74
12,1753149041854,1753162741932.0,manual,False,False,13700.078
12,1753229324968,1753243425957.0,manual,False,False,14100.989
13,1751599973655,1751599983236.0,auto,False,False,9.581
14,1752144441544,1752144446938.0,auto,False,False,5.394
14,1752144456208,1752144505365.0,manual,False,False,49.157
14,1752144506030,1752144506958.0,manual,False,False,0.928
14,1752144507543,1752144616340.0,manual,False,False,108.797
14,1752144617008,1752144658046.0,manual,False,False,41.038
