user_id,open_ts,close_ts,open_type,implicit_closed,duration_s
1,1751826102123,1751826746077,auto,False,643.954
1,1751841258635,1751849544609,manual,False,8285.974
1,1751985487772,1751986623885,manual,False,1136.113
1,1752250204033,1752250204781,manual,False,0.748
1,1752250205587,1752257432775,manual,False,7227.188
1,1752843408702,1752843421856,manual,False,13.154
1,1752843424801,1752845073719,manual,False,1648.918
1,1752877044540,1752884541824,manual,False,7497.284
1,1753104440917,1753106844951,manual,False,2404.034
2,1751656141008,1751656199632,auto,False,58.624
2,1751656351612,1751656664633,manual,False,313.021
2,1751656665251,1751656665917,manual,False,0.666
2,1751820297742,1751820298770,manual,False,1.028
2,1751826936388,1751826939065,manual,False,2.677
2,1751836139906,1751836141616,manual,False,1.71
2,1752835820402,1752835821481,manual,False,1.079
3,1752240576228,1752241995868,auto,False,1419.64
3,1752242482004,1752246787053,auto,False,4305.049
3,1752246933576,1752258007775,auto,False,11074.199
3,1752269809436,1752304475081,auto,False,34665.645
3,1752304493423,1752304510989,auto,False,17.566
3,1752304603815,1752304626177,auto,False,22.362
3,1752307059652,1752307097053,auto,False,37.401
3,1752308067996,1752308080052,auto,False,12.056
3,1752308098468,1752308121536,auto,False,23.068
3,1752308210458,1752308663561,auto,False,453.103
3,1752308676500,1752308784555,auto,False,108.055
3,1752308799768,1752308871791,auto,False,72.023
3,1752308880879,1752309021730,auto,False,140.851
3,1752309082273,1752309579898,auto,False,497.625
3,1752309625379,1752309926823,auto,False,301.444
3,1752309962919,1752309989389,auto,False,26.47
3,1752310292657,1752310753549,auto,False,460.892
3,1752310770426,1752311357207,auto,False,586.781
3,1752312176756,1752317628013,auto,False,5451.257
4,1751962951758,1751962991590,auto,False,39.832
4,1751968103844,1751974516033,auto,False,6412.189
4,1752130885119,1752207683746,auto,False,76798.627
4,1752230972261,1752232914314,auto,False,1942.053
4,1752232959679,1752470780404,auto,False,237820.725
4,1752498934494,1752500322875,auto,False,1388.381
4,1752501671657,1752501948935,auto,False,277.278
4,1752659402039,1752660034846,auto,False,632.807
4,1752662301791,1752663747606,auto,False,1445.815
4,1753253769919,1753253783511,manual,False,13.592
5,1751889032857,1751895189558,auto,False,6156.701
5,1751895190322,1751898194474,manual,False,3004.152
5,1751898228589,1751898446736,auto,False,218.147
5,1751965323904,1751965324365,auto,False,0.461
5,1751965327072,1752061551000,manual,False,96223.928
5,1752139190185,1752141991110,auto,False,2800.925
5,1752142213300,1752143147099,auto,False,933.799
5,1752143147830,1752143148875,manual,False,1.045
5,1752143566555,1752143981167,auto,False,414.612
5,1752145156727,1752156336163,auto,False,11179.436
